iter	Passed	Remaining
0	0	593
1	0	466
2	1	404
3	1	365
4	1	343
5	2	348
6	2	333
7	2	329
8	2	327
9	3	331
10	3	329
11	3	327
12	4	321
13	4	320
14	4	318
15	5	315
16	5	311
17	5	313
18	6	319
19	6	318
20	6	316
21	7	312
22	7	315
23	7	319
24	8	330
25	8	331
26	9	329
27	9	326
28	9	324
29	10	324
30	10	323
31	10	320
32	10	318
33	11	315
34	11	312
35	11	311
36	11	308
37	12	307
38	12	306
39	12	304
40	12	302
41	13	301
42	13	302
43	13	300
44	14	298
45	14	298
46	14	297
47	14	296
48	15	294
49	15	293
50	15	293
51	16	291
52	16	291
53	16	290
54	16	289
55	17	290
56	17	291
57	17	290
58	18	289
59	18	289
60	18	288
61	19	287
62	19	287
63	19	286
64	19	285
65	20	285
66	20	285
67	20	284
68	21	284
69	21	283
70	21	284
71	22	285
72	22	284
73	22	285
74	23	286
75	23	285
76	23	284
77	24	284
78	24	284
79	24	283
80	24	282
81	25	281
82	25	278
83	25	278
84	25	277
85	26	277
86	26	276
87	26	275
88	26	275
89	27	274
90	27	273
91	27	272
92	27	272
93	28	271
94	28	271
95	28	270
96	28	269
97	29	268
98	29	268
99	29	267
100	29	266
101	30	267
102	30	266
103	30	265
104	31	265
105	31	264
106	31	264
107	31	263
108	32	263
109	32	262
110	32	262
111	32	261
112	33	261
113	33	260
114	33	260
115	34	259
116	34	259
117	34	259
118	34	258
119	35	258
120	35	257
121	35	256
122	35	255
123	36	256
124	36	256
125	36	255
126	37	256
127	37	255
128	37	255
129	38	255
130	38	254
131	38	254
132	38	253
133	39	253
134	39	252
135	39	252
136	40	252
137	40	251
138	40	251
139	40	250
140	41	250
141	41	249
142	41	248
143	41	248
144	42	247
145	42	247
146	42	247
147	42	246
148	43	246
149	43	245
150	43	245
151	43	245
152	44	244
153	44	243
154	44	243
155	44	243
156	45	243
157	45	243
158	45	243
159	46	242
160	46	241
161	46	241
162	46	240
163	47	240
164	47	240
165	47	239
166	48	239
167	48	239
168	48	238
169	48	239
170	49	238
171	49	238
172	49	238
173	50	238
174	50	237
175	50	237
176	50	237
177	51	236
178	51	236
179	51	236
180	52	236
181	52	236
182	52	236
183	53	236
184	53	236
185	53	235
186	54	235
187	54	235
188	54	234
189	54	234
190	55	233
191	55	233
192	55	233
193	56	232
194	56	232
195	56	232
196	56	231
197	57	231
198	57	230
199	57	230
200	57	230
201	58	230
202	58	230
203	59	230
204	59	231
205	59	231
206	60	230
207	60	230
208	60	229
209	60	229
210	61	228
211	61	228
212	61	228
213	61	227
214	62	227
215	62	226
216	62	226
217	63	226
218	63	225
219	63	225
220	63	224
221	64	224
222	64	224
223	64	223
224	64	223
225	65	223
226	65	222
227	65	222
228	65	221
229	66	221
230	66	220
231	66	220
232	66	220
233	67	219
234	67	219
235	67	219
236	67	218
237	68	218
238	68	218
239	69	219
240	69	218
241	69	218
242	70	218
243	70	217
244	70	217
245	70	217
246	71	216
247	71	216
248	71	215
249	71	215
250	72	215
251	72	215
252	72	214
253	73	214
254	73	214
255	73	214
256	74	213
257	74	213
258	74	213
259	74	212
260	75	212
261	75	211
262	75	211
263	75	211
264	75	210
265	76	210
266	76	209
267	76	209
268	76	208
269	77	208
270	77	208
271	77	207
272	77	207
273	78	207
274	78	206
275	78	206
276	79	206
277	79	205
278	79	205
279	79	205
280	80	204
281	80	204
282	80	204
283	80	203
284	81	203
285	81	203
286	81	202
287	81	202
288	82	202
289	82	202
290	82	201
291	83	201
292	83	201
293	83	200
294	84	201
295	85	202
296	85	202
297	85	202
298	86	202
299	86	201
300	86	201
301	87	202
302	87	202
303	88	201
304	88	201
305	88	201
306	88	200
307	89	200
308	89	200
309	89	199
310	90	199
311	90	199
312	91	199
313	91	199
314	91	199
315	91	198
316	92	198
317	92	197
318	92	197
319	92	197
320	93	196
321	93	196
322	93	196
323	94	196
324	94	195
325	94	195
326	94	195
327	95	194
328	95	194
